mz,dlz
0.002324163382368704,0.0038418653486117205
0.002420923130813475,0.004300209775868057
0.002511954565472289,0.004787100200186504
0.0025832143008972467,0.005279370050923824
0.0025929748169801893,0.0057780876972778035
0.0026363550552792737,0.006326066463366739
0.0026361474416825843,0.00684628794414355
0.0025702317625742282,0.007415848185660147
0.0025167097980701453,0.007990243190432969
0.0024948695670987254,0.008583172064545402
0.002492271313886463,0.009173658732064669
0.002469413876926818,0.009744414116032626
0.002501363132288028,0.010317540178084802
0.0025821638513839193,0.01086383719311929
0.0028092360953661864,0.01138729242115386
0.003002670123985694,0.011883059407890946
0.0033326506121710083,0.012333630949335867
0.00371674490016815,0.012750806836488235
0.004178553434477992,0.013088231344768376
0.004701280717751049,0.013384919191251697
0.00523291622714696,0.013570839268896418
0.005830904777356053,0.013723461633550087
0.006492343396004457,0.013819832697591732
0.007205812463974126,0.013880224953868538
0.007931250839072177,0.013886785634891036
0.008685366752567305,0.013868517447225318
0.009465606110658695,0.01382042101358568
0.010208230379391557,0.013799942272032607
0.010901972257890065,0.013690160385188957
0.011627859598593544,0.01365984234441857
0.012344378524941932,0.013638461468004919
0.013021252065957695,0.013688915151360085
0.013668250491099135,0.01385290519226341
0.014335807027991102,0.014090359354742924
0.0149278459042105,0.014415440749739964
0.015501984946634434,0.014738163533686495
0.016129436402156583,0.015179956949771412
0.01669167098909365,0.015717269253905063
0.01716996764525627,0.01631896125180605
0.017620658567218537,0.016945417222329194
0.01805822894918024,0.01765806624609219
0.018462470126803292,0.018393854328179797
0.018862167478191444,0.019158291596829278
0.0192166695732768,0.019966000982470287
0.019605072230556773,0.020815590701618345
0.019985360220913292,0.021651972421305534
0.020378888322357763,0.022499515506460857
0.020745499008375624,0.02333708462229247
0.02110364910979616,0.024135536444559135
0.021561461669617515,0.024961936811340457
0.022012500158984007,0.025764680544475376
0.022572992534702203,0.02655621908294163
0.023133220833772877,0.02733533866969531
0.02371299153928245,0.028076742485388877
0.02431647084136213,0.02887023701828876
0.024997657284848367,0.02966248781754417
0.02567708328522967,0.03039961835590586
0.026483531485890718,0.03120686249110645
0.02739053313248109,0.031968814020504735
0.02826452414439884,0.032758435650560754
0.02912151809270169,0.03352822359095294
0.03002999069839827,0.03437116874827966
0.0310081059237451,0.03524594271962008
0.0319578951674927,0.036105819800845776
0.032896043414084926,0.037010656999552326
0.03376217268440997,0.0379449884055253
0.03480290600080698,0.038909958766831065
0.03571803449152599,0.03990233975836213
0.03667012374060049,0.04090739538810547
0.037572027658113905,0.04195960203428283
0.0385194808264489,0.04299875337399107
0.03954302399254715,0.04409022586958483
0.040504288679035924,0.04510945077390899
0.04142873148502963,0.04616784454922998
